Product Code,Net Unit Cost,Quantity,Warehouse Code,Supplier No,Reference No,Date,Shop ID,Purchase Status,Payment Term,Payment Status,Shipping,Order Discount,Order Tax
SY0WF1821,6.2,12,WH1,2,,,,received,,PAID,,,
SY0PF1821,6.2,11,WH1,2,,,,received,,PAID,,,
SYBEF1823,5.7,12,WH1,2,,,,received,,PAID,,,
SY0GF1823,5.7,12,WH1,2,,,,received,,PAID,,,
SY0WF1823,5.7,12,WH1,2,,,,received,,PAID,,,
SY0PF1823,5.7,12,WH1,2,,,,received,,PAID,,,
SYBEF1824,7.3,10,WH1,2,,,,received,,PAID,,,
SY0GF1824,7.3,10,WH1,2,,,,received,,PAID,,,
SY0PF1824,7.3,10,WH1,2,,,,received,,PAID,,,
SYBEF1827,6,12,WH1,2,,,,received,,PAID,,,
SY0PF1827,6,13,WH1,2,,,,received,,PAID,,,
