Code,Name,Category Code,Unit,Cost,Price,Alert Quantity, Tax Rate Name,Tax Method,Subcategory Code,Product Variants Separated by |,Supplier1(No),Supplier2(No),Supplier3(No),Supplier4(No),Supplier5(No),Custom Field 1,Custom Field 2,Custom Field 3,Custom Field 4,Custom Field 5,Custom Field 6,Image
SY0WF1820,1820 WHITE SHIRT,SY,UNIT,,14.99,1,,,,,,,,,,,,,,,,
SYGGF1820,1820 GREEN SHIRT,SY,UNIT,,14.99,1,,,,,,,,,,,,,,,,
SY0PF1820,1820 PINK SHIRT,SY,UNIT,,14.99,1,,,,,,,,,,,,,,,,
SY0WF1821,1821 WHITE SHIRT,SY,UNIT,,14.99,1,,,,,,,,,,,,,,,,
SY0PF1821,1821 PINK SHIRT,SY,UNIT,,14.99,1,,,,,,,,,,,,,,,,
SY0GM1822,1822 GRAY M SHIRT,SY,UNIT,,14.99,1,,,,,,,,,,,,,,,,
SY0GL1822,1822 GRAY L SHIRT,SY,UNIT,,14.99,1,,,,,,,,,,,,,,,,
SY0RM1822,1822 RED M SHIRT,SY,UNIT,,14.99,1,,,,,,,,,,,,,,,,
SY0RL1822,1822 RED L SHIRT,SY,UNIT,,14.99,1,,,,,,,,,,,,,,,,
SYBEF1823,1823 BLUE SHIRT,SY,UNIT,,13.99,1,,,,,,,,,,,,,,,,
SY0GF1823,1823 GRAY SHIRT,SY,UNIT,,13.99,1,,,,,,,,,,,,,,,,
SY0WF1823,1823 WHITE SHIRT,SY,UNIT,,13.99,1,,,,,,,,,,,,,,,,
SY0PF1823,1823 PINK SHIRT,SY,UNIT,,13.99,1,,,,,,,,,,,,,,,,
SYBEF1824,1824 BLUE SHIRT,SY,UNIT,,15.99,1,,,,,,,,,,,,,,,,
SY0GF1824,1824 GRAY SHIRT,SY,UNIT,,15.99,1,,,,,,,,,,,,,,,,
SY0PF1824,1824 PINK SHIRT,SY,UNIT,,15.99,1,,,,,,,,,,,,,,,,
SYCFF1825,1825 SHIRT,SY,UNIT,,13.99,1,,,,,,,,,,,,,,,,
CDCFS1826,1826 S DRESS,CD,UNIT,,19.99,1,,,,,,,,,,,,,,,,
CDCFM1826,1826 M DRESS,CD,UNIT,,19.99,1,,,,,,,,,,,,,,,,
CDCFL1826,1826 L DRESS,CD,UNIT,,19.99,1,,,,,,,,,,,,,,,,
SYBEF1827,1827 BLUE SHIRT,SY,UNIT,,13.99,1,,,,,,,,,,,,,,,,
SY0PF1827,1827 PINK SHIRT,SY,UNIT,,13.99,1,,,,,,,,,,,,,,,,
SYBEF1828,1828 BLUE SHIRT,SY,UNIT,,15.99,1,,,,,,,,,,,,,,,,
SYBBF1828,1828 BLACK SHIRT,SY,UNIT,,15.99,1,,,,,,,,,,,,,,,,
SYCFF1829,1829 SHIRT,SY,UNIT,,14.99,1,,,,,,,,,,,,,,,,
SY0WF1830,1830 WHITE SHIRT,SY,UNIT,,11.99,1,,,,,,,,,,,,,,,,
SYGGF1830,1830 GREEN SHIRT,SY,UNIT,,11.99,1,,,,,,,,,,,,,,,,
SY0PF1830,1830 PINK SHIRT,SY,UNIT,,11.99,1,,,,,,,,,,,,,,,,
SY0YF1831,1831 YELLOW SHIRT,SY,UNIT,,13.99,1,,,,,,,,,,,,,,,,
SY0PF1831,1831 PINK SHIRT,SY,UNIT,,13.99,1,,,,,,,,,,,,,,,,
SY0OF1832,1832 ORANGE SHIRT,SY,UNIT,,14.99,1,,,,,,,,,,,,,,,,
SY0CF1832,1832 CREAM SHIRT,SY,UNIT,,14.99,1,,,,,,,,,,,,,,,,
