Product Code,Net Unit Cost,Quantity,Warehouse Code,Supplier No,Reference No,Date,Shop ID,Purchase Status,Payment Term,Payment Status,Shipping,Order Discount,Order Tax
JKCFS8048,5.8,30,WH1,2,,,,received,,PAID,,,
JKCFS8028,5.8,20,WH1,2,,,,received,,PAID,,,
JKCFM8028,5.8,22,WH1,2,,,,received,,PAID,,,
JKCFL8028,5.8,20,WH1,2,,,,received,,PAID,,,
JKCFXL8028,5.8,10,WH1,2,,,,received,,PAID,,,
JKCFS8088,5.8,20,WH1,2,,,,received,,PAID,,,
JKCFM8088,5.8,20,WH1,2,,,,received,,PAID,,,
JKCFL8088,5.8,20,WH1,2,,,,received,,PAID,,,
JKCFXL8088,5.8,10,WH1,2,,,,received,,PAID,,,
JKBBS1297,6.1,26,WH1,2,,,,received,,PAID,,,
JKBBM1297,6.1,27,WH1,2,,,,received,,PAID,,,
JKBBL1297,6.1,20,WH1,2,,,,received,,PAID,,,
