Code,Name,Category Code,Unit,Cost,Price,Alert Quantity, Tax Rate Name,Tax Method,Subcategory Code,Product Variants Separated by |,Supplier1(No),Supplier2(No),Supplier3(No),Supplier4(No),Supplier5(No),Custom Field 1,Custom Field 2,Custom Field 3,Custom Field 4,Custom Field 5,Custom Field 6,Image
SYBEF1701,1701 BLUE SHIRT,SY,UNIT,,8.5,1,,,,,,,,,,,,,,,,
SYBBF1701,1701 BLACK SHIRT,SY,UNIT,,8.5,1,,,,,,,,,,,,,,,,
SY0WF1701,1701 WHTIE SHIRT,SY,UNIT,,8.5,1,,,,,,,,,,,,,,,,
SY0GF110,110 GRAY SHIRT,SY,UNIT,,9,1,,,,,,,,,,,,,,,,
SYPPF110,110 PURPEL SHIRT,SY,UNIT,,9,1,,,,,,,,,,,,,,,,
SYBEF110,110 BLUE SHIRT,SY,UNIT,,9,1,,,,,,,,,,,,,,,,
SYBBF110,110 BLACK SHIRT,SY,UNIT,,9,1,,,,,,,,,,,,,,,,
SYGGF110,110 GREEN SHIRT,SY,UNIT,,9,1,,,,,,,,,,,,,,,,
SY0PF110,110 PINK SHIRT,SY,UNIT,,9,1,,,,,,,,,,,,,,,,
SY0CF110,110 CREAM SHIRT,SY,UNIT,,9,1,,,,,,,,,,,,,,,,
SY0WF110,110 WHITE SHIRT,SY,UNIT,,9,1,,,,,,,,,,,,,,,,
SYGGF7312,7312 GREEN SHIRT,SY,UNIT,,4.99,1,,,,,,,,,,,,,,,,
SYBBF7312,7312 BLACK SHIRT,SY,UNIT,,4.99,1,,,,,,,,,,,,,,,,
SYBBF8412,8412 BLACK SHIRT,SY,UNIT,,7.99,1,,,,,,,,,,,,,,,,
SY0WF8412,8412 WHITE SHIRT,SY,UNIT,,7.99,1,,,,,,,,,,,,,,,,
SY0WF6127,6127 WHTIE SHIRT,SY,UNIT,,5.99,1,,,,,,,,,,,,,,,,
SYBBF6127,6127 BLACK SHIRT,SY,UNIT,,5.99,1,,,,,,,,,,,,,,,,
