Code,Name,Category Code,Unit,Cost,Price,Alert Quantity, Tax Rate Name,Tax Method,Subcategory Code,Product Variants Separated by |,Supplier1(No),Supplier2(No),Supplier3(No),Supplier4(No),Supplier5(No),Custom Field 1,Custom Field 2,Custom Field 3,Custom Field 4,Custom Field 5,Custom Field 6,Image
JLBB973,973 BLACK JULIUS,JL,UNIT,,38,1,,,,,,,,,,,,,,,,
JL0W973,973 WHITE JULIUS,JL,UNIT,,38,1,,,,,,,,,,,,,,,,
JL0P973,973 PINK JULIUS,JL,UNIT,,38,1,,,,,,,,,,,,,,,,
JLBR1040,1040 BROWN JULIUS,JL,UNIT,,42,1,,,,,,,,,,,,,,,,
JL0G1040,1040 GOLD JULIUS,JL,UNIT,,42,1,,,,,,,,,,,,,,,,
JLGG1033,1033 GREEN GOLD JULIUS,JL,UNIT,,68,1,,,,,,,,,,,,,,,,
JLBR1033,1033 BROWN GOLD JULIUS,JL,UNIT,,68,1,,,,,,,,,,,,,,,,
JL0G1033,1033 GOLD JULIUS,JL,UNIT,,68,1,,,,,,,,,,,,,,,,
JL0W1033,1033 WHITE JULIUS,JL,UNIT,,68,1,,,,,,,,,,,,,,,,
JL0W1001,1001 WHITE JULIUS,JL,UNIT,,58,1,,,,,,,,,,,,,,,,
JL0G1001,1001 GOLD JULIUS,JL,UNIT,,58,1,,,,,,,,,,,,,,,,
JLBB914,914 BLACK JULIUS,JL,UNIT,,28,1,,,,,,,,,,,,,,,,
JLBR914,914 BROWN JULIUS,JL,UNIT,,28,1,,,,,,,,,,,,,,,,
JLBE914,914 BLUE JULIUS,JL,UNIT,,28,1,,,,,,,,,,,,,,,,
JLBG928,928 BLACK GOLD JULIUS,JL,UNIT,,32,1,,,,,,,,,,,,,,,,
JL0R928,928 RED JULIUS,JL,UNIT,,32,1,,,,,,,,,,,,,,,,
JLRG1030,1030 RED GOLD JULIUS,JL,UNIT,,48,1,,,,,,,,,,,,,,,,
JL0G1030,1030 GOLD JULIUS,JL,UNIT,,48,1,,,,,,,,,,,,,,,,
JL0W1030,1030 WHITE JULIUS,JL,UNIT,,48,1,,,,,,,,,,,,,,,,
