Product Code,Net Unit Cost,Quantity,Warehouse Code,Supplier No,Reference No,Date,Shop ID,Purchase Status,Payment Term,Payment Status,Shipping,Order Discount,Order Tax
LJCFS1026,7,10,WH1,2,,,,received,,PAID,,,
LJCFM1026,7,15,WH1,2,,,,received,,PAID,,,
LJCFL1026,7,14,WH1,2,,,,received,,PAID,,,
LJCFXL1026,7,10,WH1,2,,,,received,,PAID,,,
LJBBS1050,5.9,8,WH1,2,,,,received,,PAID,,,
LJBBM1050,5.9,12,WH1,2,,,,received,,PAID,,,
LJBBL1050,5.9,12,WH1,2,,,,received,,PAID,,,
LJBBXL1050,5.9,8,WH1,2,,,,received,,PAID,,,
LJBES1050,5.9,8,WH1,2,,,,received,,PAID,,,
LJBEM1050,5.9,12,WH1,2,,,,received,,PAID,,,
LJBEL1050,5.9,12,WH1,2,,,,received,,PAID,,,
LJBEXL1050,5.9,8,WH1,2,,,,received,,PAID,,,
LJCFS1016,7.3,8,WH1,2,,,,received,,PAID,,,
LJCFM1016,7.3,12,WH1,2,,,,received,,PAID,,,
LJCFL1016,7.3,12,WH1,2,,,,received,,PAID,,,
