Product Code,Net Unit Cost,Quantity,Warehouse Code,Supplier No,Reference No,Date,Shop ID,Purchase Status,Payment Term,Payment Status,Shipping,Order Discount,Order Tax
SYBBF3180,3.9,12,WH1,2,,,,received,,PAID,,,
SY0WS3182,4.7,12,WH1,2,,,,received,,PAID,,,
SY0WM3182,4.7,12,WH1,2,,,,received,,PAID,,,
SYBEF1824,7.3,14,WH1,2,,,,received,,PAID,,,
SY0GF1824,7.3,12,WH1,2,,,,received,,PAID,,,
SY0PF1824,7.3,12,WH1,2,,,,received,,PAID,,,
SY0WF3183,5.4,12,WH1,2,,,,received,,PAID,,,
SHCFS3184,5.3,10,WH1,2, ,,,received,,PAID,,,
SHCFM3184,5.3,10,WH1,2,,,,received,,PAID,,,
SHCFL3184,5.3,10,WH1,2,,,,received,,PAID,,,
LP0CM3186,7.3,12,WH1,2,,,,received,,PAID,,,
LP0CL3186,7.3,10,WH1,2,,,,received,,PAID,,,
LP0GM3186,7.3,12,WH1,2,,,,received,,PAID,,,
LP0GL3186,7.3,10,WH1,2,,,,received,,PAID,,,
