Code,Name,Category Code,Unit,Cost,Price,Alert Quantity, Tax Rate Name,Tax Method,Subcategory Code,Product Variants Separated by |,Supplier1(No),Supplier2(No),Supplier3(No),Supplier4(No),Supplier5(No),Custom Field 1,Custom Field 2,Custom Field 3,Custom Field 4,Custom Field 5,Custom Field 6,Image
SY0YF3180,3180 YELLOW SHIRT,SY,UNIT,,9.99,1,,,,,,,,,,,,,,,,
SYBBF3180,3180 BLACK SHIRT,SY,UNIT,,9.99,1,,,,,,,,,,,,,,,,
SY0WF3180,3180 WHITE SHIRT,SY,UNIT,,9.99,1,,,,,,,,,,,,,,,,
SYGGF3180,3180 GREEN SHIRT,SY,UNIT,,9.99,1,,,,,,,,,,,,,,,,
SY0WF3181,3181 WHITE SHRT,SY,UNIT,,14.99,1,,,,,,,,,,,,,,,,
SY0PF3181,3181 PINK SHIRT,SY,UNIT,,14.99,1,,,,,,,,,,,,,,,,
SY0GS3182,3182 GRAY S SHIRT,SY,UNIT,,11.99,1,,,,,,,,,,,,,,,,
SY0GM3182,3182 GRAY M SHIRT,SY,UNIT,,11.99,1,,,,,,,,,,,,,,,,
SY0WS3182,3182 WHTE S SHIRT,SY,UNIT,,11.99,1,,,,,,,,,,,,,,,,
SY0WM3182,3182 WHITE M SHIRT,SY,UNIT,,11.99,1,,,,,,,,,,,,,,,,
SY0WF3183,3183 WHITE SHIRT,SY,UNIT,,12.99,1,,,,,,,,,,,,,,,,
SY0PF3183,3183 PINK SHIRT,SY,UNIT,,12.99,1,,,,,,,,,,,,,,,,
SHCFS3184,3184 S SHORT,SH,UNIT,,12.99,1,,,,,,,,,,,,,,,,
SHCFM3184,3184 M SHORT,SH,UNIT,,12.99,1,,,,,,,,,,,,,,,,
SHCFL3184,3184 L SHORT,SH,UNIT,,12.99,1,,,,,,,,,,,,,,,,
SY0WF3185,3185 WHITE SHIRT,SY,UNIT,,12.99,1,,,,,,,,,,,,,,,,
SY0RF3185,3185 RED SHIRT,SY,UNIT,,12.99,1,,,,,,,,,,,,,,,,
LP0CM3186,3186 CREAM M PANT,LP,UNIT,,16.99,1,,,,,,,,,,,,,,,,
LP0CL3186,3186 CREAM L PANT,LP,UNIT,,16.99,1,,,,,,,,,,,,,,,,
LP0GM3186,3186 GRAY M PANT,LP,UNIT,,16.99,1,,,,,,,,,,,,,,,,
LP0GL3186,3186 GRAY L PANT,LP,UNIT,,16.99,1,,,,,,,,,,,,,,,,
