Product Code,Net Unit Cost,Quantity,Warehouse Code,Supplier No,Reference No,Date,Shop ID,Purchase Status,Payment Term,Payment Status,Shipping,Order Discount,Order Tax
GU00294,2,72,WH1,2,,,,received,,PAID,,,
GU003082,3.3,80,WH1,2,,,,received,,PAID,,,
GU005090,2.73,20,WH1,2,,,,received,,PAID,,,
GU002170,3.6,40,WH1,2,,,,received,,PAID,,,
GU00202,3.5,54,WH1,2,,,,received,,PAID,,,
GU00586A,1.2,50,WH1,2,,,,received,,PAID,,,
BR00602,1.8,120,WH1,2,,,,received,,PAID,,,
BR00001,2.5,55,WH1,2,,,,received,,PAID,,,
BR00009,1.25,36,WH1,2,,,,received,,PAID,,,
GU001888,2.7,10,WH1,2,,,,received,,PAID,,,
SO000001,0.9,273,WH1,2,,,,received,,PAID,,,
SO000002,0.8,72,WH1,2,,,,received,,PAID,,,
