Code,Name,Category Code,Unit,Cost,Price,Alert Quantity, Tax Rate Name,Tax Method,Subcategory Code,Product Variants Separated by |,Supplier1(No),Supplier2(No),Supplier3(No),Supplier4(No),Supplier5(No),Custom Field 1,Custom Field 2,Custom Field 3,Custom Field 4,Custom Field 5,Custom Field 6,Image
SY0GS8920,8920 GRAY S SHIRT,SY,UNIT,,7.99,1,,,,,,,,,,,,,,,,
SY0GM8920,8920 GRAY M SHIRT,SY,UNIT,,7.99,1,,,,,,,,,,,,,,,,
SY0GL8920,8920 GRAY L SHIRT,SY,UNIT,,7.99,1,,,,,,,,,,,,,,,,
SY0GXL8920,8920 GRAY XL SHIRT,SY,UNIT,,7.99,1,,,,,,,,,,,,,,,,
SYBBS8920,8920 BLACK S SHIRT,SY,UNIT,,7.99,1,,,,,,,,,,,,,,,,
SYBBM8920,8920 BLACK M SHIRT,SY,UNIT,,7.99,1,,,,,,,,,,,,,,,,
SYBBL8920,8920 BLACK L SHIRT,SY,UNIT,,7.99,1,,,,,,,,,,,,,,,,
SYBBXL8920,8920 BLACK XL SHIRT,SY,UNIT,,7.99,1,,,,,,,,,,,,,,,,
SY0WS8920,8920 WHITE S SHIRT,SY,UNIT,,7.99,1,,,,,,,,,,,,,,,,
SY0WM8920,8920 WHITE M SHIRT,SY,UNIT,,7.99,1,,,,,,,,,,,,,,,,
SY0WL8920,8920 WHITE L SHIRT,SY,UNIT,,7.99,1,,,,,,,,,,,,,,,,
SY0WXL8920,8920 WHITE XL SHIRT,SY,UNIT,,7.99,1,,,,,,,,,,,,,,,,
