Product Code,Net Unit Cost,Quantity,Warehouse Code,Supplier No,Reference No,Date,Shop ID,Purchase Status,Payment Term,Payment Status,Shipping,Order Discount,Order Tax
NLCFN0540,0.7,10,WH1,2,,,,received,,PAID,,,
NLCFN3120,0.7,10,WH1,2,,,,received,,PAID,,,
NLCFN3201,0.6,10,WH1,2,,,,received,,PAID,,,
NLCFN3205,0.7,10,WH1,2,,,,received,,PAID,,,
NLCFN3203,0.6,10,WH1,2,,,,received,,PAID,,,
NLCFN3389,0.7,10,WH1,2,,,,received,,PAID,,,
NLCFN3479,0.9,40,WH1,2,,,,received,,PAID,,,
ERCFB2700,0.6,10,WH1,2,,,,received,,PAID,,,
NLCFN4075,0.7,10,WH1,2,,,,received,,PAID,,,
ERCFE2975,1.1,10,WH1,2,,,,received,,PAID,,,
NL0GN4702,0.8,10,WH1,2,,,,received,,PAID,,,
NL0SN4702,0.8,10,WH1,2,,,,received,,PAID,,,
