Code,Name,Category Code,Unit,Cost,Price,Alert Quantity, Tax Rate Name,Tax Method,Subcategory Code,Product Variants Separated by |,Supplier1(No),Supplier2(No),Supplier3(No),Supplier4(No),Supplier5(No),Custom Field 1,Custom Field 2,Custom Field 3,Custom Field 4,Custom Field 5,Custom Field 6,Image
CD001115,1115 DRESS,CD,UNIT,,34.99,1,,,,,,,,,,,,,,,,
JK001116,1116 JACKET,JK,UNIT,,17.99,1,,,,,,,,,,,,,,,,
SS001117,1117 SET,SS,UNIT,,15.99,1,,,,,,,,,,,,,,,,
CD001118,1118 DRESS,CD,UNIT,,15.99,1,,,,,,,,,,,,,,,,
LP001119,1119 LONG PANT,LP,UNIT,,18.99,1,,,,,,,,,,,,,,,,
SY001120,1120 SHIRT,SY,UNIT,,11.99,1,,,,,,,,,,,,,,,,
SY001121,1121 SHIRT,SY,UNIT,,11.99,1,,,,,,,,,,,,,,,,
CD001122,1122 DRESS,CD,UNIT,,19.99,1,,,,,,,,,,,,,,,,
CD001123,1123 DRESS,CD,UNIT,,20.99,1,,,,,,,,,,,,,,,,
SK001124,1124 SKIRT,SK,UNIT,,12.99,1,,,,,,,,,,,,,,,,
SY001125,1125 SHIRT,SY,UNIT,,13.99,1,,,,,,,,,,,,,,,,
SH0026207,26207 SHORT,SH,UNIT,,13.99,1,,,,,,,,,,,,,,,,
SK001126,1126 SKIRT,SK,UNIT,,14.99,1,,,,,,,,,,,,,,,,
SY001127,1127 SHIRT,SY,UNIT,,11.99,1,,,,,,,,,,,,,,,,
SY001128,1128 SHIRT,SY,UNIT,,8,1,,,,,,,,,,,,,,,,
CD004011,4011 DRESS,CD,UNIT,,15.99,1,,,,,,,,,,,,,,,,
CD002843,2843 DRESS,CD,UNIT,,15.99,1,,,,,,,,,,,,,,,,
CD001129,1129 DRESS,CD,UNIT,,24.99,1,,,,,,,,,,,,,,,,
SK001130,1130  SKIRT,SK,UNIT,,15.99,1,,,,,,,,,,,,,,,,
CD001131,1131 DRESS,CD,UNIT,,24.99,1,,,,,,,,,,,,,,,,
CD001132,1132 DRESS,CD,UNIT,,14.99,1,,,,,,,,,,,,,,,,
CD001133,1133 DRESS,CD,UNIT,,17.99,1,,,,,,,,,,,,,,,,
SY001134,1134 SHIRT,SY,UNIT,,15.99,1,,,,,,,,,,,,,,,,
SY001135,1135 SHIRT,SY,UNIT,,14.99,1,,,,,,,,,,,,,,,,
SY001136,1136 SHIRT,SY,UNIT,,15.99,1,,,,,,,,,,,,,,,,
SY001137,1137 SHIRT,SY,UNIT,,7.99,1,,,,,,,,,,,,,,,,
BG001138,1138 BAG,BG,UNIT,,18.99,1,,,,,,,,,,,,,,,,
BG001139,1139 BAG,BG,UNIT,,15.99,1,,,,,,,,,,,,,,,,
BG001140,1140 BAG,BG,UNIT,,15.99,1,,,,,,,,,,,,,,,,
SK001141,1141 SKIRT,SK,UNIT,,15.99,1,,,,,,,,,,,,,,,,
DO001623,1623 DENIM,DO,UNIT,,16.99,1,,,,,,,,,,,,,,,,
JS001142,1142 JUMPSUIT,JS,UNIT,,16.99,1,,,,,,,,,,,,,,,,
CD001143,1143 DRESS,CD,UNIT,,15.99,1,,,,,,,,,,,,,,,,
HT001144,1144 HAT,HT,UNIT,,1.99,1,,,,,,,,,,,,,,,,
BR003004,3004 BRA,GU,UNIT,,4.99,1,,,,,,,,,,,,,,,,
