Product Code,Net Unit Cost,Quantity,Warehouse Code,Supplier No,Reference No,Date,Shop ID,Purchase Status,Payment Term,Payment Status,Shipping,Order Discount,Order Tax
SY00659,7.2,1,WH1,2,,11/17/2017,,received,,PAID,,,
CD006610,6.9,1,WH1,2,,11/17/2017,,received,,PAID,,,
SY003088,4.5,1,WH1,2,,11/17/2017,,received,,PAID,,,
CD001115,16,1,WH1,2,,11/17/2017,,received,,PAID,,,
JK001116,8,1,WH1,2,,11/17/2017,,received,,PAID,,,
SS001117,6,1,WH1,2,,11/17/2017,,received,,PAID,,,
CD001118,6,1,WH1,2,,11/17/2017,,received,,PAID,,,
LP001119,7,1,WH1,2,,11/17/2017,,received,,PAID,,,
SY001120,4,1,WH1,2,,11/17/2017,,received,,PAID,,,
SY001121,4,1,WH1,2,,11/17/2017,,received,,PAID,,,
CD001122,9,1,WH1,2,,11/17/2017,,received,,PAID,,,
CD001123,9,1,WH1,2,,11/17/2017,,received,,PAID,,,
SK001124,3,1,WH1,2,,11/17/2017,,received,,PAID,,,
SY001125,4,1,WH1,2,,11/17/2017,,received,,PAID,,,
CD007088,10.8,1,WH1,2,,11/17/2017,,received,,PAID,,,
SH0026207,6,1,WH1,2,,11/17/2017,,received,,PAID,,,
SK001126,5,1,WH1,2,,11/17/2017,,received,,PAID,,,
SY001127,4,1,WH1,2,,11/17/2017,,received,,PAID,,,
SY001128,3,1,WH1,2,,11/17/2017,,received,,PAID,,,
CD004011,5,1,WH1,2,,11/17/2017,,received,,PAID,,,
CD0066306,9.4,2,WH1,2,,11/17/2017,,received,,PAID,,,
CD002843,6,1,WH1,2,,11/17/2017,,received,,PAID,,,
CD001129,9,1,WH1,2,,11/17/2017,,received,,PAID,,,
SK001130,6,1,WH1,2,,11/17/2017,,received,,PAID,,,
CD001131,10,1,WH1,2,,11/17/2017,,received,,PAID,,,
CD001132,6,2,WH1,2,,11/17/2017,,received,,PAID,,,
CD001133,7,1,WH1,2,,11/17/2017,,received,,PAID,,,
SY001134,6,1,WH1,2,,11/17/2017,,received,,PAID,,,
SY001135,5,1,WH1,2,,11/17/2017,,received,,PAID,,,
SY001136,5,1,WH1,2,,11/17/2017,,received,,PAID,,,
SY001137,3,1,WH1,2,,11/17/2017,,received,,PAID,,,
SY00171137,5.2,1,WH1,2,,11/17/2017,,received,,PAID,,,
BG001138,7,1,WH1,2,,11/17/2017,,received,,PAID,,,
BG001139,5,1,WH1,2,,11/17/2017,,received,,PAID,,,
BG001140,5,1,WH1,2,,11/17/2017,,received,,PAID,,,
SK001141,5,1,WH1,2,,11/17/2017,,received,,PAID,,,
CD006647,8,1,WH1,2,,11/17/2017,,received,,PAID,,,
DO001623,6,4,WH1,2,,11/17/2017,,received,,PAID,,,
JS001142,6,3,WH1,2,,11/17/2017,,received,,PAID,,,
CD001143,6,1,WH1,2,,11/17/2017,,received,,PAID,,,
HT001144,0.3,10,WH1,2,,11/17/2017,,received,,PAID,,,
BR003004,1.5,5,WH1,2,,11/17/2017,,received,,PAID,,,
