Code,Name,Category Code,Unit,Cost,Price,Alert Quantity, Tax Rate Name,Tax Method,Subcategory Code,Product Variants Separated by |,Supplier1(No),Supplier2(No),Supplier3(No),Supplier4(No),Supplier5(No),Custom Field 1,Custom Field 2,Custom Field 3,Custom Field 4,Custom Field 5,Custom Field 6,Image
SYBE171019,171019 BLUE SHIRT,SY,UNIT,,12.99,1,,,,,,,,,,,,,,,,
SY0W171019,171019 WHITE SHIRT,SY,UNIT,,12.99,1,,,,,,,,,,,,,,,,
SY00171076,171076 SHIRT,SY,UNIT,,13.99,1,,,,,,,,,,,,,,,,
CDBB171123,171123 BLACK DRESS,CD,UNIT,,15.99,1,,,,,,,,,,,,,,,,
CD0G171123,171123 GRAY DRESS,CD,UNIT,,15.99,1,,,,,,,,,,,,,,,,
SYDB171012,171012 DARK BLUE SHIRT,SY,UNIT,,11.99,1,,,,,,,,,,,,,,,,
SYBE171012,171012 BLUE SHIRT,SY,UNIT,,11.99,1,,,,,,,,,,,,,,,,
CD00171063,171063 DRESS,CD,UNIT,,15.99,1,,,,,,,,,,,,,,,,
SY00171137,171137 SHIRT,SY,UNIT,,12.99,1,,,,,,,,,,,,,,,,
CDBB171139,171139 BLACK DRESS,CD,UNIT,,14.99,1,,,,,,,,,,,,,,,,
CD0C171139,171139 CREAM DRESS,CD,UNIT,,14.99,1,,,,,,,,,,,,,,,,
SYBB171128,71128 BLACK SHIRT,SY,UNIT,,12.99,1,,,,,,,,,,,,,,,,
SY0G171128,171128 GRAY SHIRT,SY,UNIT,,12.99,1,,,,,,,,,,,,,,,,
SK00171033,171033 SKIRT,SK,UNIT,,12.99,1,,,,,,,,,,,,,,,,
SY0G171026,171026 SHIRT,SY,UNIT,,12.99,1,,,,,,,,,,,,,,,,
SY0R171026,171026 RED SHIRT,SY,UNIT,,12.99,1,,,,,,,,,,,,,,,,
SK0G171088,171088 GRAY SKIRT,SK,UNIT,,12.99,1,,,,,,,,,,,,,,,,
SKBB171088,171088 BLACK SKIRT,SK,UNIT,,12.99,1,,,,,,,,,,,,,,,,
SK00171187,171187 SKIRT,SK,UNIT,,12.99,1,,,,,,,,,,,,,,,,
SKBE165129,165129 BLUE SKIRT,SK,UNIT,,12.99,1,,,,,,,,,,,,,,,,
SKBB165129,165129 BLACK SKIRT,SK,UNIT,,12.99,1,,,,,,,,,,,,,,,,
SK00600367,600367 SKIRT,SK,UNIT,,13.99,1,,,,,,,,,,,,,,,,
SY00571012,571012 SHIRT,SY,UNIT,,12.99,1,,,,,,,,,,,,,,,,
SY00571128,571128 SHIRT,SY,UNIT,,11.99,1,,,,,,,,,,,,,,,,
SY00571078,571078 SHIRT,SY,UNIT,,10.99,1,,,,,,,,,,,,,,,,
LJ00571028,571028 LONG JEAN,LJ,UNIT,,14.99,1,,,,,,,,,,,,,,,,
SY00571150,571150 SHIRT,SY,UNIT,,10.99,1,,,,,,,,,,,,,,,,
LP0G571168,571168 GRAY LONG PANT,LP,UNIT,,14.99,1,,,,,,,,,,,,,,,,
LPBB571168,571168 BLACK LONG PANT,LP,UNIT,,14.99,1,,,,,,,,,,,,,,,,
SY00571152,571152 SHIRT,SY,UNIT,,10,1,,,,,,,,,,,,,,,,
