Product Code,Net Unit Cost,Quantity,Warehouse Code,Supplier No,Reference No,Date,Shop ID,Purchase Status,Payment Term,Payment Status,Shipping,Order Discount,Order Tax
LPGGM338,3.4,22,WH1,2,,,,received,,PAID,,,
LPGGL338,3.4,15,WH1,2,,,,received,,PAID,,,
LPGGXL338,3.4,3,WH1,2,,,,received,,PAID,,,
LPBEXL338,3.4,10,WH1,2,,,,received,,PAID,,,
LPBBM338,3.4,12,WH1,2,,,,received,,PAID,,,
LPBBL338,3.4,24,WH1,2,,,,received,,PAID,,,
LPBBXL338,3.4,14,WH1,2,,,,received,,PAID,,,
LP0CM338,3.4,10,WH1,2,,,,received,,PAID,,,
LP0CL338,3.4,12,WH1,2,,,,received,,PAID,,,
LP0CXL338,3.4,8,WH1,2,,,,received,,PAID,,,
