Code,Name,Category Code,Unit,Cost,Price,Alert Quantity, Tax Rate Name,Tax Method,Subcategory Code,Product Variants Separated by |,Supplier1(No),Supplier2(No),Supplier3(No),Supplier4(No),Supplier5(No),Custom Field 1,Custom Field 2,Custom Field 3,Custom Field 4,Custom Field 5,Custom Field 6,Image
BT008018,8018 BELT,BT,UNIT,,4.99,1,,,,,,,,,,,,,,,,
BT0C1129,1129 CREAM BELT,BT,UNIT,,2.99,1,,,,,,,,,,,,,,,,
BTBR1129,1129 BROWN BELT,BT,UNIT,,2.99,1,,,,,,,,,,,,,,,,
BTBB1129,1129 BLACK BELT,BT,UNIT,,2.99,1,,,,,,,,,,,,,,,,
BT0W1518,1518 WHITE BELT,BT,UNIT,,4.99,1,,,,,,,,,,,,,,,,
BTBB1518,1518 BLACK BELT,BT,UNIT,,4.99,1,,,,,,,,,,,,,,,,
BT0C1607,1607 CREAM BELT,BT,UNIT,,3.99,1,,,,,,,,,,,,,,,,
BT0W1607,1607 WHITE BELT,BT,UNIT,,3.99,1,,,,,,,,,,,,,,,,
BTBB1607,1607 BLACK BELT,BT,UNIT,,3.99,1,,,,,,,,,,,,,,,,
BTBR1607,1607 BROWN BELT,BT,UNIT,,3.99,1,,,,,,,,,,,,,,,,
BT0W8301,8301 WHITE BELT,BT,UNIT,,4.99,1,,,,,,,,,,,,,,,,
BTBR8301,8301 BROWN BELT,BT,UNIT,,4.99,1,,,,,,,,,,,,,,,,
BTBB8301,8301 BLACK BELT,BT,UNIT,,4.99,1,,,,,,,,,,,,,,,,
BT0W1657,1657 WHITE BELT,BT,UNIT,,4.99,1,,,,,,,,,,,,,,,,
BT0P1657,1657 PINK BELT,BT,UNIT,,4.99,1,,,,,,,,,,,,,,,,
BTBR1657,1657 BROWN BELT,BT,UNIT,,4.99,1,,,,,,,,,,,,,,,,
BTBB1657,1657 BLACK BELT,BT,UNIT,,4.99,1,,,,,,,,,,,,,,,,
BTBR8370,8370 BROWN BELT,BT,UNIT,,4.99,1,,,,,,,,,,,,,,,,
BTBB8370,8370 BLACK BELT,BT,UNIT,,4.99,1,,,,,,,,,,,,,,,,
BTBR1102,1102 BROWN BELT,BT,UNIT,,2.99,1,,,,,,,,,,,,,,,,
BTBB1102,1102 BLACK BELT,BT,UNIT,,2.99,1,,,,,,,,,,,,,,,,
BT0C1102,1102 CREAM BELT,BT,UNIT,,2.99,1,,,,,,,,,,,,,,,,
BTBR1628,1628 BROWN BELT,BT,UNIT,,3.99,1,,,,,,,,,,,,,,,,
BTBB1628,1628 BLACK BELT,BT,UNIT,,3.99,1,,,,,,,,,,,,,,,,
BTBR1671,1671 BROWN BELT,BT,UNIT,,5.99,1,,,,,,,,,,,,,,,,
BTBB1671,1671 BLACK BELT,BT,UNIT,,5.99,1,,,,,,,,,,,,,,,,
