Product Code,Net Unit Cost,Quantity,Warehouse Code,Supplier No,Reference No,Date,Shop ID,Purchase Status,Payment Term,Payment Status,Shipping,Order Discount,Order Tax
BT008018,1.3,10,WH1,2,,,,received,,PAID,,,
BT0C1129,1,10,WH1,2,,,,received,,PAID,,,
BTBR1129,1,10,WH1,2,,,,received,,PAID,,,
BTBB1129,1,10,WH1,2,,,,received,,PAID,,,
BT0W1518,0.8,10,WH1,2,,,,received,,PAID,,,
BTBB1518,0.8,10,WH1,2,,,,received,,PAID,,,
BT0C1607,1,10,WH1,2,,,,received,,PAID,,,
BT0W1607,1,15,WH1,2,,,,received,,PAID,,,
BTBB1607,1,15,WH1,2,,,,received,,PAID,,,
BTBR1607,1,10,WH1,2,,,,received,,PAID,,,
BT0W8301,1,10,WH1,2,,,,received,,PAID,,,
BTBR8301,1,10,WH1,2,,,,received,,PAID,,,
BTBB8301,1,10,WH1,2,,,,received,,PAID,,,
BT0W1657,1,10,WH1,2,,,,received,,PAID,,,
BT0P1657,1,10,WH1,2,,,,received,,PAID,,,
BTBR1657,1,10,WH1,2,,,,received,,PAID,,,
BTBB1657,1,10,WH1,2,,,,received,,PAID,,,
BTBR8370,1.2,10,WH1,2,,,,received,,PAID,,,
BTBB8370,1.2,10,WH1,2,,,,received,,PAID,,,
BTBR1102,1,10,WH1,2,,,,received,,PAID,,,
BTBB1102,1,10,WH1,2,,,,received,,PAID,,,
BT0C1102,1,10,WH1,2,,,,received,,PAID,,,
BTBR1628,1,10,WH1,2,,,,received,,PAID,,,
BTBB1628,1,10,WH1,2,,,,received,,PAID,,,
BTBR1671,1,25,WH1,2,,,,received,,PAID,,,
BTBB1671,1,25,WH1,2,,,,received,,PAID,,,
