Code,Name,Category Code,Unit,Cost,Price,Alert Quantity, Tax Rate Name,Tax Method,Subcategory Code,Product Variants Separated by |,Supplier1(No),Supplier2(No),Supplier3(No),Supplier4(No),Supplier5(No),Custom Field 1,Custom Field 2,Custom Field 3,Custom Field 4,Custom Field 5,Custom Field 6,Image
BG0G15032,15032 GRAY BAG,BG,UNIT,,11.99,1,,,,,,,,,,,,,,,,
BG0P15032,15032 PINK BAG,BG,UNIT,,11.99,1,,,,,,,,,,,,,,,,
BG0R15032,15032 RED BAG,BG,UNIT,,11.99,1,,,,,,,,,,,,,,,,
BGBB15032,15032 BLACK BAG,BG,UNIT,,11.99,1,,,,,,,,,,,,,,,,
BG0G40622,40622 GRAY BAG,BG,UNIT,,12.99,1,,,,,,,,,,,,,,,,
BG0Y40622,40622 YELLOW BAG,BG,UNIT,,12.99,1,,,,,,,,,,,,,,,,
BG0W40622,40622 WHITE BAG,BG,UNIT,,12.99,1,,,,,,,,,,,,,,,,
BGBB40622,40622 BLACK BAG,BG,UNIT,,12.99,1,,,,,,,,,,,,,,,,
BGBE15072,15072 BLUE BAG,BG,UNIT,,15.99,1,,,,,,,,,,,,,,,,
BG0P15072,15072 PINK BAG,BG,UNIT,,15.99,1,,,,,,,,,,,,,,,,
BGBB15072,15072 BLACK BAG,BG,UNIT,,15.99,1,,,,,,,,,,,,,,,,
BG0G18072,18072 GRAY BAG,BG,UNIT,,15.99,1,,,,,,,,,,,,,,,,
BG0P18072,18072 PINK BAG,BG,UNIT,,15.99,1,,,,,,,,,,,,,,,,
BG0W18072,18072 WHITE BAG,BG,UNIT,,15.99,1,,,,,,,,,,,,,,,,
BG0G17072,17072 GRAY BAG,BG,UNIT,,15.99,1,,,,,,,,,,,,,,,,
BGGG17072,17072 GREEN BAG,BG,UNIT,,15.99,1,,,,,,,,,,,,,,,,
BG009909B,9909 BIG BAG,BG,UNIT,,10.99,1,,,,,,,,,,,,,,,,
BG009909S,9909 SMALL BAG,BG,UNIT,,10.99,1,,,,,,,,,,,,,,,,
BG0G22072,22072 GRAY BAG,BG,UNIT,,15.99,1,,,,,,,,,,,,,,,,
BGGG22072,22072 GREEN BAG,BG,UNIT,,15.99,1,,,,,,,,,,,,,,,,
BG0R22072,22072 RED BAG,BG,UNIT,,15.99,1,,,,,,,,,,,,,,,,
BGBB22072,22072 BLACK BAG,BG,UNIT,,15.99,1,,,,,,,,,,,,,,,,
BGDB53434,53434 DARK BLUE BAG,BG,UNIT,,12.99,1,,,,,,,,,,,,,,,,
BG0W53434,53434 WHITE BAG,BG,UNIT,,12.99,1,,,,,,,,,,,,,,,,
BGBE53434,53434 BLUE BAG,BG,UNIT,,12.99,1,,,,,,,,,,,,,,,,
BGBB53434,53434 BLACK BAG,BG,UNIT,,12.99,1,,,,,,,,,,,,,,,,
