Product Code,Net Unit Cost,Quantity,Warehouse Code,Supplier No,Reference No,Date,Shop ID,Purchase Status,Payment Term,Payment Status,Shipping,Order Discount,Order Tax
SY0P3211,3.8,20,WH1,2,,,,received,,PAID,,,
SYBB3211,3.8,20,WH1,2,,,,received,,PAID,,,
SYBB3251,4,20,WH1,2,,,,received,,PAID,,,
SYBE3251,4,20,WH1,2,,,,received,,PAID,,,
SY006111,3.2,40,WH1,2,,,,received,,PAID,,,
SY0050778,2,20,WH1,2,,,,received,,PAID,,,
SK0065028,4.5,28,WH1,2,,,,received,,PAID,,,
SK0061270,2,43,WH1,2,,,,received,,PAID,,,
SYBB65078,5.7,6,WH1,2,,,,received,,PAID,,,
SY0W65078,5.7,3,WH1,2,,,,received,,PAID,,,
