"Product Code","Product Name",Variant,Expected,Counted
CD009219,"9219 DRESS",,0.0000,
SY000218,SY000218,,1.0000,
SY0010215,"10215 SHIRT",,0.0000,
SY0010264,SY0010264,,0.0000,
SY001033,"1033 SHIRT",,6.0000,
SY0010351,"10351 SHIRT",,-6.0000,
SY0010500,"10500 SHIRT",,5.0000,
SY001052,"1052 SHIRT",,0.0000,
SY001069,"1069 SHIRT",,3.0000,
SY001131,"1131 SHIRT",,0.0000,
SY001138,"1138 SHIRT",,0.0000,
SY001202,"1202 SHIRT",,-1.0000,
SY001274,"1274 SHIRT",,-1.0000,
SY001286,"1286 SHIRT",,0.0000,
SY001298,"1298 SHIRT",,3.0000,
SY001323,"1323 SHIRT",,0.0000,
SY0013918,"13918 SHIRT",,0.0000,
SY001393,"1393 SHIRT",,0.0000,
SY001415,"1415 SHIRT",,1.0000,
SY001417,"1417 SHIRT",,3.0000,
SY001431,"1431 SHIRT",,0.0000,
SY001489,"1489 SHIRT",,0.0000,
SY001497,"1497 SHIRT",,0.0000,
SY001504,"1504 SHIRT",,3.0000,
SY001507,"1507 SHIRT",,0.0000,
SY001522,"1522 SHIRT",,1.0000,
SY001526,"1526 SHIRT",,-1.0000,
SY001574,"1574 SHIRT",,0.0000,
SY001603,"1603 SHIRT",,0.0000,
SY0016081,"16081 SHIRT",,3.0000,
SY0016082,"16082 SHIRT",,3.0000,
SY001609,"1609 SHIRT",,0.0000,
SY0016092,"16092 SHIRT",,4.0000,
SY001621,"1621 SHIRT",,3.0000,
SY001628,"1628 SHIRT",,0.0000,
SY0016280,"16280 SHIRT",,2.0000,
SY001644,"1644 SHIRT",,-4.0000,
SY001649,"1649 SHIRT",,0.0000,
SY0016591,"16591 SHIRT",,-2.0000,
SY001704,"1704 SHIRT",,0.0000,
SY00171076,"171076 SHIRT",,5.0000,
SY00171137,"171137 SHIRT",,0.0000,
SY001713,SY001713,,0.0000,
SY001779,"1779 SHIRT",,1.0000,
