Product Code,Net Unit Cost,Quantity,Warehouse Code,Supplier No,Reference No,Date,Shop ID,Purchase Status,Payment Term,Payment Status,Shipping,Order Discount,Order Tax
BT0CF697,1.7,16,WH1,2,,,,received,,PAID,,,
BTBEF697,1.7,16,WH1,2,,,,received,,PAID,,,
BTBBF697,1.7,16,WH1,2,,,,received,,PAID,,,
BTBBF660,1.6,16,WH1,2,,,,received,,PAID,,,
BTBRF660,1.6,16,WH1,2,,,,received,,PAID,,,
BT0W1657,1,16,WH1,2,,,,received,,PAID,,,
BTPP1657,1,16,WH1,2,,,,received,,PAID,,,
BTBB1657,1,16,WH1,2,,,,received,,PAID,,,
BTBB1671,1,16,WH1,2,,,,received,,PAID,,,
BTCFF8061,1.9,16,WH1,2,,,,received,,PAID,,,
BTBRF101,2.5,4,WH1,2,,,,received,,PAID,,,
BTBEF101,2.5,4,WH1,2,,,,received,,PAID,,,
BT0RF101,2.5,6,WH1,2,,,,received,,PAID,,,
