Code,Name,Category Code,Unit,Cost,Price,Alert Quantity, Tax Rate Name,Tax Method,Subcategory Code,Product Variants Separated by |,Supplier1(No),Supplier2(No),Supplier3(No),Supplier4(No),Supplier5(No),Custom Field 1,Custom Field 2,Custom Field 3,Custom Field 4,Custom Field 5,Custom Field 6,Image
14649,Aqua Sport ShortTop,Man Swimwear,1,6.8,15,0,, exclusive,,,,,,,,,,,,,,
14650,Aqua Sport Long Top,Man Swimwear,1,8,15,0,, exclusive,,,,,,,,,,,,,,
1638,Goggle Seaman,Accessories,1,2.8,7,0,, exclusive,,,,,,,,,,,,,,
1922XL,Daisy Dress XL,Swimwear,1,7.1,20,0,, exclusive,,,,,,,,,,,,,,
1922XXLXXXL,Daisy Dress XXL XXXL,Swimwear,1,7.7,20,0,, exclusive,,,,,,,,,,,,,,
39001,39001,Swimwear,1,7.1,20,0,, exclusive,,,,,,,,,,,,,,
39002,39002,Swimwear,1,7.1,20,0,, exclusive,,,,,,,,,,,,,,
DS0010,Zip& Skirt,Swimwear,2,6.7,20,0,, exclusive,,,,,,,,,,,,,,
39005,39005,Swimwear,1,7.1,20,0,, exclusive,,,,,,,,,,,,,,
BK007,Angry Bird Kid,Kid Swimwear,1,8,16,0,, exclusive,,,,,,,,,,,,,,
P022,APPERAL PANTS Long,Swimwear,1,5.7,10,0,, exclusive,,,,,,,,,,,,,,
4223,AQUA JUMPSUIT,Swimwear,1,9.1,20,0,, exclusive,,,,,,,,,,,,,,
BK006,Bee,Kid Swimwear,2,5.4,12,0,, exclusive,,,,,,,,,,,,,,
PA0021,Bikini Cross Pad,Swimwear,2,6.6,17,0,, exclusive,,,,,,,,,,,,,,
PA0022,Bikini Tube,Swimwear,2,5.7,17,0,, exclusive,,,,,,,,,,,,,,
602,Long Pant L XL,Swimwear,1,5.4,10,0,, exclusive,,,,,,,,,,,,,,
DS0011,Clearence Sport,Swimwear,2,5,10,0,, exclusive,,,,,,,,,,,,,,
1922,DAISY DRESS,Swimwear,2,7.1,20,0,, exclusive,,,,,,,,,,,,,,
DS0013,DAISY SHORT SKIRT,Swimwear,1,4.4,10,0,, exclusive,,,,,,,,,,,,,,
DS0011,High Waist Pants,Swimwear,1,7.5,10,0,, exclusive,,,,,,,,,,,,,,
PA0023,HW Robe,Swimwear,2,7.5,18,0,, exclusive,,,,,,,,,,,,,,
DS0012,Daisy Long Pants,Swimwear,1,5.7,10,0,, exclusive,,,,,,,,,,,,,,
P023,Apparel Medium Length Pants,Swimwear,1,4.3,10,0,, exclusive,,,,,,,,,,,,,,
DS0009,Daisy long skirt,Swimwear,1,5,10,0,, exclusive,,,,,,,,,,,,,,
N30,N30,Swimwear,2,9,20,0,, exclusive,,,,,,,,,,,,,,
N038,38,Swimwear,2,5.4,16,0,, exclusive,,,,,,,,,,,,,,
N039,39,Swimwear,2,5.4,16,0,, exclusive,,,,,,,,,,,,,,
FA0010,Yoga pants,Sportwear,1,3.5,8,0,, exclusive,,,,,,,,,,,,,,
TBL9944,TBL 9944,Swimwear,2,6.8,20,0,, exclusive,,,,,,,,,,,,,,
2015,TIGER kid,Kid Swimwear,2,5.4,12,0,, exclusive,,,,,,,,,,,,,,
P015,Top Apperal P015,Swimwear,2,9.7,20,0,, exclusive,,,,,,,,,,,,,,
P026,Top Apperal Crop P026,Swimwear,2,8.6,20,0,, exclusive,,,,,,,,,,,,,,
20153,Scaft,Accessories,1,3.2,8,0,, exclusive,,,,,,,,,,,,,,
PA0023,One 1 robe,Swimwear,2,7.8,18,0,, exclusive,,,,,,,,,,,,,,
BK002,Kid Pants & Hat,Kid Swimwear,2,3,8,0,, exclusive,,,,,,,,,,,,,,
BK003,Kid Monkey Jumpsuit,Kid Swimwear,2,6.6,15,0,, exclusive,,,,,,,,,,,,,,
BK004,Kid Monkey Jumpsuit long sleeve,Kid Swimwear,2,6.8,17,0,, exclusive,,,,,,,,,,,,,,
BK005,Kid Monkey 2 2 pcs,Kid Swimwear,2,6.6,15,0,, exclusive,,,,,,,,,,,,,,
20159,Man pants 1,Man Swimwear,1,2.8,8,0,, exclusive,,,,,,,,,,,,,,
9949,TBL Long,Swimwear,2,6.8,20,0,, exclusive,,,,,,,,,,,,,,
A5-1,Man Top L XL XXL,Man Swimwear,1,5.4,12,0,, exclusive,,,,,,,,,,,,,,
B0180,AQUA,Swimwear,2,8.6,20,0,, exclusive,,,,,,,,,,,,,,
B08233,AQUA,Swimwear,2,8.6,20,0,, exclusive,,,,,,,,,,,,,,
BK001,Bee kid 2,Kid Swimwear,2,6.3,15,0,, exclusive,,,,,,,,,,,,,,
Br001,Bathsuit princes,Kid Clothes,1,4.7,12,0,, exclusive,,,,,,,,,,,,,,
Br002,Bathsuit simple,Kid Clothes,1,1.2,8,0,, exclusive,,,,,,,,,,,,,,
Bra001,Bra Sport,Sportwear,1,4,8,0,, exclusive,,,,,,,,,,,,,,
C001,waterproof case cartoon,Accessories,1,0.5,1,0,, exclusive,,,,,,,,,,,,,,
Cap001,Fabric Cap,Accessories,1,0.8,3,0,, exclusive,,,,,,,,,,,,,,
Cap002,Silicone Cap,Accessories,1,1.7,5,0,, exclusive,,,,,,,,,,,,,,
dress001,Belive Dress ,Clothes,1,7,12,0,, exclusive,,,,,,,,,,,,,,
DS0001,Daisy Tube 2 with skirt,Swimwear,2,8.6,20,0,, exclusive,,,,,,,,,,,,,,
DS0002,Daisy Lady 2,Swimwear,2,8.6,20,0,, exclusive,,,,,,,,,,,,,,
DSB001,Daisy Underarm,Beauty Supply,1,1.5,5,0,, exclusive,,,,,,,,,,,,,,
DSB002,Daisy Body Scrub Big,Beauty Supply,1,4.2,12,0,, exclusive,,,,,,,,,,,,,,
DSB003,Daisy Body Scrub Small,Beauty Supply,1,1.8,7,0,, exclusive,,,,,,,,,,,,,,
F0002,Watermelon,Accessories,1,22.8,33,0,, exclusive,,,,,,,,,,,,,,
Fr2-012,Frozen 2 dress,Kid Swimwear,2,8.2,19,0,, exclusive,,,,,,,,,,,,,,
Fr2-044,Frozen jumpsuit,Kid Swimwear,2,9.4,19,0,, exclusive,,,,,,,,,,,,,,
Fr2-080,Frozen,Kid Swimwear,2,9.4,19,0,, exclusive,,,,,,,,,,,,,,
GML013,Man Pant02,Man Swimwear,1,3.1,8,0,, exclusive,,,,,,,,,,,,,,
gymtee001,Gym tee,Clothes,2,5,10,0,, exclusive,,,,,,,,,,,,,,
gymtee002,White TEE,Clothes,2,2.6,5,0,, exclusive,,,,,,,,,,,,,,
HW00011,High waist tube spogetti,Swimwear,2,7.5,18,0,, exclusive,,,,,,,,,,,,,,
MC7000,goggle big len,Accessories,2,3.2,8,0,, exclusive,,,,,,,,,,,,,,
Mermaid,Kid Mermaid,Accessories,2,9.4,19,0,, exclusive,,,,,,,,,,,,,,
Mp001,Man Pants Cotton,Clothes,2,4,8,0,, exclusive,,,,,,,,,,,,,,
P0001,Pants ,Swimwear,2,2,5,0,, exclusive,,,,,,,,,,,,,,
P015-02,P015+skirt,Swimwear,2,10.2,22,0,, exclusive,,,,,,,,,,,,,,
P015xl,Aperal long 2 XL,Swimwear,2,10.3,20,0,, exclusive,,,,,,,,,,,,,,
P015xl-02,P015xl+skirt,Swimwear,2,10.8,22,0,, exclusive,,,,,,,,,,,,,,
P024,CBK,Swimwear,2,9.8,22,0,, exclusive,,,,,,,,,,,,,,
P026-02,P026+skirt,Swimwear,2,10.2,22,0,, exclusive,,,,,,,,,,,,,,
P045,Apparel Long,Swimwear,2,10,20,0,, exclusive,,,,,,,,,,,,,,
P045-02,P045+skirt,Swimwear,2,10.8,22,0,, exclusive,,,,,,,,,,,,,,
P045XL,Apparel P045Xl,Swimwear,2,10.3,20,0,, exclusive,,,,,,,,,,,,,,
P054,Apparel Long top and skirt,Swimwear,2,10,22,0,, exclusive,,,,,,,,,,,,,,
P055,Apparel Long top and skirt XL,Swimwear,2,10.5,22,0,, exclusive,,,,,,,,,,,,,,
PA0001,Vintage,Swimwear,2,8.5,20,0,, exclusive,,,,,,,,,,,,,,
PA0002,Sport Panty,Swimwear,2,7.1,17,0,, exclusive,,,,,,,,,,,,,,
PA0003,Bikini Spogetti,Swimwear,2,7.5,15,0,, exclusive,,,,,,,,,,,,,,
PA0004,Bikini Pad Push up Skirt,Swimwear,2,7.5,15,0,, exclusive,,,,,,,,,,,,,,
PA0005,Bikini Cross Pad Short,Swimwear,2,7.2,17,0,, exclusive,,,,,,,,,,,,,,
PA0006,Top Knitting,Swimwear,2,4,8,0,, exclusive,,,,,,,,,,,,,,
PA0007,Bikini Push Up Wire,Swimwear,2,7.2,17,0,, exclusive,,,,,,,,,,,,,,
PA0008,Bikini Twist,Swimwear,2,4.3,13,0,, exclusive,,,,,,,,,,,,,,
PA0009,One pcs long sleeve,Swimwear,2,8,18,0,, exclusive,,,,,,,,,,,,,,
PA0010,Bikini Push Up lace,Swimwear,2,7.2,15,0,, exclusive,,,,,,,,,,,,,,
PA0011,One pcs long X,Swimwear,2,7.2,18,0,, exclusive,,,,,,,,,,,,,,
